date,close,sbi_tt,close_inr
2023-01-03,50.369998931884766,82.3,4145.4509
2023-01-04,54.20000076293945,82.35,4463.3701
2023-01-05,54.709999084472656,82.36,4505.9155
2023-01-06,56.77000045776367,82.15,4663.6555
2023-01-09,56.36000061035156,81.9,4615.884
2023-01-10,57.209999084472656,81.6,4668.3359
2023-01-11,58.060001373291016,81.26,4717.9557
2023-01-12,57.27000045776367,81.26,4653.7602
2023-01-13,56.93000030517578,81.26,4626.1318
2023-01-17,56.849998474121094,81.38,4626.4529
2023-01-18,56.5099983215332,81.35,4597.0884
2023-01-19,56.36000061035156,80.97,4563.4692
2023-01-20,58.459999084472656,80.8,4723.5679
2023-01-23,61.81999969482422,81.0,5007.42
2023-01-24,61.2599983215332,81.15,4971.2489
2023-01-25,61.540000915527344,81.2,4997.0481
2023-01-26,62.79999923706055,81.2,5099.3599
2023-01-27,63.869998931884766,81.1,5179.8569
2023-01-30,61.709999084472656,81.25,5013.9374
2023-01-31,60.29999923706055,81.2,4896.3599
2023-02-01,62.599998474121094,81.38,5094.3879
2023-02-02,63.16999816894531,81.6,5154.6719
2023-02-03,62.40999984741211,81.4,5080.174
2023-02-06,59.97999954223633,82.25,4933.355
2023-02-07,62.130001068115234,82.25,5110.1926
2023-02-08,60.25,82.25,4955.5625
2023-02-09,60.18000030517578,82.18,4945.5924
2023-02-10,59.81999969482422,82.18,4916.0076
2023-02-13,60.119998931884766,82.3,4947.8759
2023-02-14,62.06999969482422,82.3,5108.361
2023-02-15,61.84000015258789,82.5,5101.8
2023-02-16,60.04999923706055,82.5,4954.1249
2023-02-17,59.0099983215332,82.39,4861.8338
2023-02-21,57.599998474121094,82.35,4743.3599
2023-02-22,56.97999954223633,82.42,4696.2916
2023-02-23,58.75,82.38,4839.825
2023-02-24,58.18000030517578,82.28,4787.0504
2023-02-27,57.900001525878906,82.47,4775.0131
2023-02-28,57.81999969482422,82.3,4758.586
2023-03-01,57.34000015258789,82.08,4706.4672
2023-03-02,56.43000030517578,82.17,4636.8531
2023-03-03,56.779998779296875,81.65,4636.0869
2023-03-06,56.83000183105469,81.4,4625.9621
2023-03-07,55.560001373291016,81.4,4522.5841
2023-03-08,56.88999938964844,81.65,4645.0685
2023-03-09,55.599998474121094,81.52,4532.5119
2023-03-10,54.93000030517578,81.73,4489.4289
2023-03-13,53.900001525878906,81.75,4406.3251
2023-03-14,54.27000045776367,81.86,4442.5422
2023-03-15,54.130001068115234,82.12,4445.1557
2023-03-16,56.56999969482422,82.37,4659.6709
2023-03-17,56.65999984741211,82.12,4652.9192
2023-03-20,57.63999938964844,82.25,4740.8899
2023-03-21,58.630001068115234,82.15,4816.4546
2023-03-22,58.16999816894531,82.15,4778.6653
2023-03-23,61.34000015258789,81.75,5014.545
2023-03-24,61.15999984741211,81.9,5009.004
2023-03-27,59.790000915527344,81.96,4900.3885
2023-03-28,59.279998779296875,81.76,4846.7327
2023-03-29,63.540000915527344,81.85,5200.7491
2023-03-30,63.09000015258789,81.85,5163.9165
2023-03-31,60.34000015258789,81.72,4930.9848
2023-04-03,59.61000061035156,82.0,4888.0201
2023-04-04,57.27000045776367,82.0,4696.14
2023-04-05,57.02000045776367,81.68,4657.3936
2023-04-06,58.560001373291016,81.54,4774.9825
2023-04-10,63.27000045776367,81.47,5154.6069
2023-04-11,63.56999969482422,81.56,5184.7692
2023-04-12,61.959999084472656,81.65,5059.0339
2023-04-13,63.0,81.6,5140.8
2023-04-14,62.630001068115234,81.6,5110.6081
2023-04-17,62.540000915527344,81.49,5096.3847
2023-04-18,61.93000030517578,81.62,5054.7266
2023-04-19,60.650001525878906,81.7,4955.1051
2023-04-20,61.459999084472656,81.83,5029.2717
2023-04-21,61.130001068115234,81.72,4995.5437
2023-04-24,59.5099983215332,81.69,4861.3718
2023-04-25,58.13999938964844,81.48,4737.2472
2023-04-26,61.02000045776367,81.3,4960.926
2023-04-27,61.900001525878906,81.31,5033.0891
2023-04-28,64.36000061035156,81.38,5237.6168
2023-05-01,62.349998474121094,81.35,5072.1724
2023-05-02,61.900001525878906,81.35,5035.5651
2023-05-03,60.90999984741211,81.38,4956.8558
2023-05-04,60.5099983215332,81.27,4917.6476
