date,close,sbi_tt,close_inr
2023-01-03,57.59000015258789,82.3,4739.657
2023-01-04,58.060001373291016,82.35,4781.2411
2023-01-05,57.56999969482422,82.36,4741.4652
2023-01-06,59.75,82.15,4908.4625
2023-01-09,60.86000061035156,81.9,4984.434
2023-01-10,61.209999084472656,81.6,4994.7359
2023-01-11,61.5,81.26,4997.49
2023-01-12,65.0999984741211,81.26,5290.0259
2023-01-13,64.05999755859375,81.26,5205.5154
2023-01-17,62.959999084472656,81.38,5123.6847
2023-01-18,60.9900016784668,81.35,4961.5366
2023-01-19,61.369998931884766,80.97,4969.1288
2023-01-20,62.7400016784668,80.8,5069.3921
2023-01-23,64.23999786376953,81.0,5203.4398
2023-01-24,63.91999816894531,81.15,5187.1079
2023-01-25,64.13999938964844,81.2,5208.168
2023-01-26,64.66000366210938,81.2,5250.3923
2023-01-27,65.70999908447266,81.1,5329.0809
2023-01-30,65.2699966430664,81.25,5303.1872
2023-01-31,66.75,81.2,5420.1
2023-02-01,68.83999633789062,81.38,5602.1989
2023-02-02,70.66000366210938,81.6,5765.8563
2023-02-03,68.22000122070312,81.4,5553.1081
2023-02-06,66.83000183105469,82.25,5496.7677
2023-02-07,67.5199966430664,82.25,5553.5197
2023-02-08,66.30000305175781,82.25,5453.1753
2023-02-09,66.62999725341797,82.18,5475.6532
2023-02-10,66.72000122070312,82.18,5483.0497
2023-02-13,67.83000183105469,82.3,5582.4092
2023-02-14,67.41000366210938,82.3,5547.8433
2023-02-15,67.12999725341797,82.5,5538.2248
2023-02-16,66.36000061035156,82.5,5474.7001
2023-02-17,65.4800033569336,82.39,5394.8975
2023-02-21,64.66000366210938,82.35,5324.7513
2023-02-22,64.44000244140625,82.42,5311.145
2023-02-23,64.29000091552734,82.38,5296.2103
2023-02-24,63.83000183105469,82.28,5251.9326
2023-02-27,63.5,82.47,5236.845
2023-02-28,62.630001068115234,82.3,5154.4491
2023-03-01,62.369998931884766,82.08,5119.3295
2023-03-02,62.529998779296875,82.17,5138.09
2023-03-03,62.540000915527344,81.65,5106.3911
2023-03-06,62.61000061035156,81.4,5096.454
2023-03-07,61.41999816894531,81.4,4999.5879
2023-03-08,61.529998779296875,81.65,5023.9244
2023-03-09,60.90999984741211,81.52,4965.3832
2023-03-10,60.380001068115234,81.73,4934.8575
2023-03-13,57.97999954223633,81.75,4739.865
2023-03-14,58.439998626708984,81.86,4783.8983
2023-03-15,57.06999969482422,82.12,4686.5884
2023-03-16,58.400001525878906,82.37,4810.4081
2023-03-17,57.790000915527344,82.12,4745.7149
2023-03-20,58.70000076293945,82.25,4828.0751
2023-03-21,59.18000030517578,82.15,4861.637
2023-03-22,57.439998626708984,82.15,4718.6959
